,nums,mr,td,errors,stepsize
0,0,0.2638376400000027,0.13729008000000248,2,100000
1,1,0.27708410000000183,0.21599286000000006,2,100000
2,2,0.2767783199999997,0.2714957400000003,2,100000
3,3,0.2799700200000018,0.3141265599999997,2,100000
4,4,0.27831532000000153,0.34550624000000313,2,100000
5,5,0.27916212000000085,0.3807935799999996,2,100000
6,6,0.28047215999999936,0.4098955999999987,2,100000
7,7,0.2809184399999992,0.43846348000000146,2,100000
8,8,0.2796027999999978,0.45819210000000227,2,100000
9,9,0.2807485999999983,0.48100137999999787,2,100000
10,10,0.28103010000000384,0.5068590799999981,2,100000
11,11,0.28041747999999983,0.5247553800000049,2,100000
12,12,0.2822228800000005,0.5371547599999985,2,100000
13,13,0.2799753399999986,0.5654944400000034,2,100000
14,14,0.2820343000000037,0.5794612799999982,2,100000
15,15,0.28177728,0.5919483200000002,2,100000
16,16,0.2798233399999958,0.6174114200000019,2,100000
17,17,0.28154372000000194,0.630692620000002,2,100000
18,18,0.2803016599999978,0.6464976999999976,2,100000
19,19,0.2806142200000011,0.6655307999999991,2,100000
20,20,0.282197339999999,0.6751301599999977,2,100000
21,21,0.2791247399999975,0.6844445000000008,2,100000
22,22,0.2816927399999997,0.7009865600000011,2,100000
23,23,0.2812637999999993,0.7147315200000037,2,100000
24,24,0.2821020599999997,0.7228356599999983,2,100000
25,25,0.2834733799999981,0.7347770200000013,2,100000
26,26,0.2809451200000012,0.7443529599999976,2,100000
27,27,0.28017939999999725,0.7552614600000027,2,100000
28,28,0.28291461999999684,0.7735479800000007,2,100000
29,29,0.28173077999999807,0.7825192199999946,2,100000
30,30,0.28924274000000877,0.7881014599999958,2,100000
31,31,0.2841322200000036,0.8386063799999988,2,100000
32,32,0.2948814200000015,0.841081100000008,2,100000
33,33,0.279972680000003,0.8344866000000024,2,100000
34,34,0.2801827600000024,0.8387696600000026,2,100000
35,35,0.2808173399999987,0.8452672199999938,2,100000
36,36,0.2832559799999899,0.8681686000000013,2,100000
37,37,0.27976604000000405,0.8758637600000043,2,100000
38,38,0.28347152000000053,0.8927317200000061,2,100000
39,39,0.28147825999999443,0.889901400000008,2,100000
40,40,0.2802459799999951,0.9050225800000021,2,100000
41,41,0.28485903999999207,0.9026655800000072,2,100000
42,42,0.2787403799999993,0.9331802000000039,2,100000
43,43,0.28141858000000186,0.9182656199999997,2,100000
44,44,0.28312382000000297,0.931133680000005,2,100000
45,45,0.2868117199999915,0.9465150999999992,2,100000
46,46,0.28987256000000344,0.949646000000007,2,100000
47,47,0.28570787999999536,0.953854560000002,2,100000
48,48,0.289097240000001,0.9900229399999944,2,100000
49,49,0.28935803999999055,1.0251504400000044,2,100000
50,50,0.2879566799999907,1.0304872799999998,2,100000
51,51,0.2884324799999945,1.0338433199999941,2,100000
52,52,0.28679257999999663,1.0068893400000092,2,100000
53,53,0.2840728399999989,1.0749090600000044,2,100000
54,54,0.28794613999999685,1.0836434599999962,2,100000
55,55,0.28585142000000585,1.0264211599999953,2,100000
56,56,0.2899365399999965,1.0336789599999974,2,100000
57,57,0.2885057999999958,1.0912133400000017,2,100000
58,58,0.28503491999999825,1.1102952600000093,2,100000
59,59,0.29015607999999704,1.0683019600000079,2,100000
60,60,0.2886153799999988,1.067844839999998,2,100000
61,61,0.2897236799999973,1.1238043199999992,2,100000
62,62,0.2920474600000034,1.1545524200000046,2,100000
63,63,0.281305640000005,1.0911369599999943,2,100000
64,64,0.28202592000000093,1.1454955599999948,2,100000
65,65,0.2838565399999993,1.1698184999999968,2,100000
66,66,0.28826312000001053,1.1086049200000048,2,100000
67,67,0.2901200000000017,1.1264079600000059,2,100000
68,68,0.28499592000000573,1.1325165599999991,2,100000
69,69,0.2848802400000068,1.1896158200000173,2,100000
70,70,0.28567325999999865,1.1452243199999885,2,100000
71,71,0.2867669599999999,1.210304999999994,2,100000
72,72,0.286649320000015,1.2242788200000176,2,100000
73,73,0.2854350199999999,1.223527940000008,2,100000
74,74,0.2833031199999823,1.2386465199999974,2,100000
75,75,0.28702083999999106,1.2381914999999935,2,100000
76,76,0.28558318000000327,1.2447559199999887,2,100000
77,77,0.28770535999999536,1.2445695599999909,2,100000
78,78,0.2874644200000148,1.2594931000000087,2,100000
79,79,0.2840602799999942,1.2054060599999956,2,100000
80,80,0.28479666000000636,1.2075715199999877,2,100000
81,81,0.28848493999998936,1.2774768399999856,2,100000
82,82,0.28951690000001234,1.29102848,2,100000
83,83,0.28764830000000075,1.2191631000000143,2,100000
84,84,0.2804735599999958,1.2277970399999958,2,100000
85,85,0.2855472799999916,1.3104295800000045,2,100000
86,86,0.2866569600000048,1.321653839999999,2,100000
87,87,0.28797409999999674,1.3208219000000099,2,100000
88,88,0.2914343199999848,1.24869834000001,2,100000
89,89,0.28605190000000674,1.26925733999999,2,100000
90,90,0.2891094800000019,1.3271952800000009,2,100000
91,91,0.29179251999998995,1.2893340999999965,2,100000
92,92,0.28962235999999847,1.2905409599999984,2,100000
93,93,0.29051033999999165,1.2814149400000132,2,100000
94,94,0.289585000000011,1.3107483199999934,2,100000
95,95,0.2887506999999914,1.30684526,2,100000
96,96,0.29325252000001,1.3622450800000023,2,100000
97,97,0.2904813200000035,1.3155403199999909,2,100000
98,98,0.2919061399999919,1.314021600000001,2,100000
99,99,0.29148442000000613,1.3150669600000129,2,100000
